STATISTIKKAAR	BOSTEDSFYLKE	ALDERSGRUPPE	YRKE_2	ANTALL
2016	01	ald15_24	00	122
2016	01	ald15_24	01	33
2016	01	ald15_24	02	38
2016	01	ald15_24	03	505
2016	01	ald15_24	11	24
2016	01	ald15_24	12	10
2016	01	ald15_24	13	7
2016	01	ald15_24	14	55
2016	01	ald15_24	21	28
2016	01	ald15_24	22	258
2016	01	ald15_24	23	317
2016	01	ald15_24	24	73
2016	01	ald15_24	25	35
2016	01	ald15_24	26	94
2016	01	ald15_24	31	98
2016	01	ald15_24	32	116
2016	01	ald15_24	33	430
2016	01	ald15_24	34	325
2016	01	ald15_24	35	82
2016	01	ald15_24	41	356
2016	01	ald15_24	42	265
2016	01	ald15_24	43	416
2016	01	ald15_24	44	41
2016	01	ald15_24	51	835
2016	01	ald15_24	52	4213
2016	01	ald15_24	53	2479
2016	01	ald15_24	54	180
2016	01	ald15_24	61	172
2016	01	ald15_24	62	7
2016	01	ald15_24	71	787
2016	01	ald15_24	72	545
2016	01	ald15_24	73	23
2016	01	ald15_24	74	533
2016	01	ald15_24	75	50
2016	01	ald15_24	81	554
2016	01	ald15_24	82	25
2016	01	ald15_24	83	256
2016	01	ald15_24	91	437
2016	01	ald15_24	92	58
2016	01	ald15_24	93	500
2016	01	ald15_24	94	366
2016	01	ald15_24	96	266
2016	01	ald25_54	00	313
2016	01	ald25_54	01	395
2016	01	ald25_54	02	6
2016	01	ald25_54	03	33
2016	01	ald25_54	11	1314
2016	01	ald25_54	12	1580
2016	01	ald25_54	13	2706
2016	01	ald25_54	14	1420
2016	01	ald25_54	21	1682
2016	01	ald25_54	22	5096
2016	01	ald25_54	23	6348
2016	01	ald25_54	24	3282
2016	01	ald25_54	25	1337
2016	01	ald25_54	26	1470
2016	01	ald25_54	31	3443
2016	01	ald25_54	32	1377
2016	01	ald25_54	33	5979
2016	01	ald25_54	34	1101
2016	01	ald25_54	35	662
2016	01	ald25_54	41	2304
2016	01	ald25_54	42	883
2016	01	ald25_54	43	3184
2016	01	ald25_54	44	186
2016	01	ald25_54	51	2300
2016	01	ald25_54	52	5153
2016	01	ald25_54	53	9276
2016	01	ald25_54	54	899
2016	01	ald25_54	61	366
2016	01	ald25_54	62	22
2016	01	ald25_54	71	3829
2016	01	ald25_54	72	2361
2016	01	ald25_54	73	238
2016	01	ald25_54	74	1281
2016	01	ald25_54	75	359
2016	01	ald25_54	81	3430
2016	01	ald25_54	82	508
2016	01	ald25_54	83	2736
2016	01	ald25_54	91	2012
2016	01	ald25_54	92	70
2016	01	ald25_54	93	1041
2016	01	ald25_54	94	473
2016	01	ald25_54	95	15
2016	01	ald25_54	96	375
2016	01	ald55_66	00	168
2016	01	ald55_66	01	50
2016	01	ald55_66	03	4
