STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_4	antall
2016	01	ald15_24	0000	105
2016	01	ald15_24	0110	33
2016	01	ald15_24	0210	38
2016	01	ald15_24	0310	506
2016	01	ald15_24	1120	13
2016	01	ald15_24	1221	7
2016	01	ald15_24	1323	4
2016	01	ald15_24	1420	41
2016	01	ald15_24	2142	8
2016	01	ald15_24	2166	10
2016	01	ald15_24	2211	4
2016	01	ald15_24	2223	164
2016	01	ald15_24	2224	49
2016	01	ald15_24	2264	15
2016	01	ald15_24	2267	4
2016	01	ald15_24	2310	15
2016	01	ald15_24	2341	141
2016	01	ald15_24	2342	50
2016	01	ald15_24	2355	20
2016	01	ald15_24	2359	7
2016	01	ald15_24	2413	7
2016	01	ald15_24	2422	6
2016	01	ald15_24	2431	17
2016	01	ald15_24	2511	8
2016	01	ald15_24	2512	5
2016	01	ald15_24	2519	5
2016	01	ald15_24	2635	26
2016	01	ald15_24	2642	8
2016	01	ald15_24	2643	10
2016	01	ald15_24	2652	4
2016	01	ald15_24	2656	4
2016	01	ald15_24	3112	18
2016	01	ald15_24	3114	11
2016	01	ald15_24	3118	5
2016	01	ald15_24	3119	24
2016	01	ald15_24	3141	9
2016	01	ald15_24	3211	9
2016	01	ald15_24	3212	12
2016	01	ald15_24	3213	7
2016	01	ald15_24	3240	15
2016	01	ald15_24	3256	15
2016	01	ald15_24	3258	48
2016	01	ald15_24	3311	6
2016	01	ald15_24	3312	8
2016	01	ald15_24	3321	9
2016	01	ald15_24	3322	124
2016	01	ald15_24	3331	4
2016	01	ald15_24	3333	55
2016	01	ald15_24	3334	13
2016	01	ald15_24	3343	9
2016	01	ald15_24	3351	16
2016	01	ald15_24	3353	15
2016	01	ald15_24	3355	19
2016	01	ald15_24	3359	6
2016	01	ald15_24	3412	18
2016	01	ald15_24	3413	7
2016	01	ald15_24	3421	61
2016	01	ald15_24	3422	113
2016	01	ald15_24	3423	89
2016	01	ald15_24	3511	33
2016	01	ald15_24	3512	19
2016	01	ald15_24	3521	4
2016	01	ald15_24	4110	275
2016	01	ald15_24	4222	46
2016	01	ald15_24	4223	6
2016	01	ald15_24	4224	69
2016	01	ald15_24	4226	86
2016	01	ald15_24	4311	29
2016	01	ald15_24	4321	224
2016	01	ald15_24	4322	7
2016	01	ald15_24	4323	21
2016	01	ald15_24	4412	41
2016	01	ald15_24	5120	117
2016	01	ald15_24	5131	254
2016	01	ald15_24	5132	37
2016	01	ald15_24	5141	130
2016	01	ald15_24	5142	15
