STATISTIKKAAR	BOSTEDSFYLKE	ALDERSGRUPPE	YRKE_1	ANTALL
2015	01	ald15_24	0	644
2015	01	ald15_24	1	118
2015	01	ald15_24	2	766
2015	01	ald15_24	3	1007
2015	01	ald15_24	4	1112
2015	01	ald15_24	5	7693
2015	01	ald15_24	6	195
2015	01	ald15_24	7	1989
2015	01	ald15_24	8	846
2015	01	ald15_24	9	1610
2015	01	ald25_54	0	728
2015	01	ald25_54	1	6956
2015	01	ald25_54	2	18579
2015	01	ald25_54	3	12590
2015	01	ald25_54	4	6674
2015	01	ald25_54	5	17356
2015	01	ald25_54	6	388
2015	01	ald25_54	7	7821
2015	01	ald25_54	8	6759
2015	01	ald25_54	9	3940
2015	01	ald55_66	0	207
2015	01	ald55_66	1	2639
2015	01	ald55_66	2	5069
2015	01	ald55_66	3	3484
2015	01	ald55_66	4	2119
2015	01	ald55_66	5	4603
2015	01	ald55_66	6	100
2015	01	ald55_66	7	1561
2015	01	ald55_66	8	2006
2015	01	ald55_66	9	1067
2015	01	ald67_74	0	126
2015	01	ald67_74	1	225
2015	01	ald67_74	2	419
2015	01	ald67_74	3	253
2015	01	ald67_74	4	235
2015	01	ald67_74	5	651
2015	01	ald67_74	6	33
2015	01	ald67_74	7	102
2015	01	ald67_74	8	217
2015	01	ald67_74	9	169
2015	02	ald15_24	0	1530
2015	02	ald15_24	1	242
2015	02	ald15_24	2	1732
2015	02	ald15_24	3	2631
2015	02	ald15_24	4	2731
2015	02	ald15_24	5	16807
2015	02	ald15_24	6	240
2015	02	ald15_24	7	3368
2015	02	ald15_24	8	672
2015	02	ald15_24	9	2660
2015	02	ald25_54	0	2083
2015	02	ald25_54	1	23590
2015	02	ald25_54	2	54689
2015	02	ald25_54	3	35800
2015	02	ald25_54	4	16973
2015	02	ald25_54	5	31085
2015	02	ald25_54	6	484
2015	02	ald25_54	7	13091
2015	02	ald25_54	8	6657
2015	02	ald25_54	9	7378
2015	02	ald55_66	0	394
2015	02	ald55_66	1	8005
2015	02	ald55_66	2	14982
2015	02	ald55_66	3	9005
2015	02	ald55_66	4	4841
2015	02	ald55_66	5	7454
2015	02	ald55_66	6	122
2015	02	ald55_66	7	2213
2015	02	ald55_66	8	2063
2015	02	ald55_66	9	1336
2015	02	ald67_74	0	183
2015	02	ald67_74	1	660
2015	02	ald67_74	2	1279
2015	02	ald67_74	3	695
2015	02	ald67_74	4	487
2015	02	ald67_74	5	1066
2015	02	ald67_74	6	30
2015	02	ald67_74	7	184
2015	02	ald67_74	8	364
2015	02	ald67_74	9	223
2015	03	ald15_24	0	1205
2015	03	ald15_24	1	455
2015	03	ald15_24	2	3383
2015	03	ald15_24	3	3746
2015	03	ald15_24	4	3529
2015	03	ald15_24	5	18816
2015	03	ald15_24	6	50
2015	03	ald15_24	7	1939
2015	03	ald15_24	8	484
2015	03	ald15_24	9	2143
2015	03	ald25_54	0	2151
2015	03	ald25_54	1	23883
2015	03	ald25_54	2	90274
2015	03	ald25_54	3	42787
2015	03	ald25_54	4	17744
2015	03	ald25_54	5	37650
2015	03	ald25_54	6	189
2015	03	ald25_54	7	10189
2015	03	ald25_54	8	5569
2015	03	ald25_54	9	10676
2015	03	ald55_66	0	245
2015	03	ald55_66	1	6917
2015	03	ald55_66	2	15868
2015	03	ald55_66	3	6888
2015	03	ald55_66	4	3733
2015	03	ald55_66	5	5080
2015	03	ald55_66	6	47
2015	03	ald55_66	7	1408
2015	03	ald55_66	8	1179
