STATISTIKKAAR	BOSTEDSFYLKE	ALDERSGRUPPE	YRKE_1	ANTALL
2019	01	ald15_24	0	672
2019	01	ald15_24	1	81
2019	01	ald15_24	2	944
2019	01	ald15_24	3	1098
2019	01	ald15_24	4	1050
2019	01	ald15_24	5	7745
2019	01	ald15_24	6	196
2019	01	ald15_24	7	2178
2019	01	ald15_24	8	863
2019	01	ald15_24	9	1706
2019	01	ald25_54	0	677
2019	01	ald25_54	1	6913
2019	01	ald25_54	2	20821
2019	01	ald25_54	3	12822
2019	01	ald25_54	4	6573
2019	01	ald25_54	5	18160
2019	01	ald25_54	6	393
2019	01	ald25_54	7	8372
2019	01	ald25_54	8	6817
2019	01	ald25_54	9	4195
2019	01	ald55_66	0	131
2019	01	ald55_66	1	3003
2019	01	ald55_66	2	5447
2019	01	ald55_66	3	3938
2019	01	ald55_66	4	2275
2019	01	ald55_66	5	4935
2019	01	ald55_66	6	110
2019	01	ald55_66	7	1779
2019	01	ald55_66	8	2337
2019	01	ald55_66	9	1184
2019	01	ald67_74	0	12
2019	01	ald67_74	1	291
2019	01	ald67_74	2	491
2019	01	ald67_74	3	330
2019	01	ald67_74	4	274
2019	01	ald67_74	5	721
2019	01	ald67_74	6	27
2019	01	ald67_74	7	158
2019	01	ald67_74	8	273
2019	01	ald67_74	9	202
2019	02	ald15_24	0	1727
2019	02	ald15_24	1	229
2019	02	ald15_24	2	2329
2019	02	ald15_24	3	2939
2019	02	ald15_24	4	2788
2019	02	ald15_24	5	17495
2019	02	ald15_24	6	248
2019	02	ald15_24	7	3701
2019	02	ald15_24	8	786
2019	02	ald15_24	9	2714
2019	02	ald25_54	0	2021
2019	02	ald25_54	1	23838
2019	02	ald25_54	2	61690
2019	02	ald25_54	3	36744
2019	02	ald25_54	4	17387
2019	02	ald25_54	5	34128
2019	02	ald25_54	6	553
2019	02	ald25_54	7	14777
2019	02	ald25_54	8	7523
2019	02	ald25_54	9	8545
2019	02	ald55_66	0	287
2019	02	ald55_66	1	9548
2019	02	ald55_66	2	17198
2019	02	ald55_66	3	10259
2019	02	ald55_66	4	5195
2019	02	ald55_66	5	8177
2019	02	ald55_66	6	135
2019	02	ald55_66	7	2732
2019	02	ald55_66	8	2392
2019	02	ald55_66	9	1624
2019	02	ald67_74	0	49
2019	02	ald67_74	1	753
2019	02	ald67_74	2	1443
2019	02	ald67_74	3	760
2019	02	ald67_74	4	561
2019	02	ald67_74	5	1098
2019	02	ald67_74	6	32
2019	02	ald67_74	7	199
2019	02	ald67_74	8	442
2019	02	ald67_74	9	232
2019	03	ald15_24	0	1056
2019	03	ald15_24	1	413
2019	03	ald15_24	2	4719
2019	03	ald15_24	3	4267
2019	03	ald15_24	4	3860
2019	03	ald15_24	5	19479
2019	03	ald15_24	6	52
2019	03	ald15_24	7	2104
2019	03	ald15_24	8	578
2019	03	ald15_24	9	2251
2019	03	ald25_54	0	2186
2019	03	ald25_54	1	25115
2019	03	ald25_54	2	105120
2019	03	ald25_54	3	44493
2019	03	ald25_54	4	17974
2019	03	ald25_54	5	40271
2019	03	ald25_54	6	229
2019	03	ald25_54	7	10785
2019	03	ald25_54	8	6215
2019	03	ald25_54	9	10981
2019	03	ald55_66	0	144
2019	03	ald55_66	1	7774
2019	03	ald55_66	2	17223
2019	03	ald55_66	3	7524
2019	03	ald55_66	4	3731
2019	03	ald55_66	5	5574
2019	03	ald55_66	6	47
2019	03	ald55_66	7	1685
2019	03	ald55_66	8	1402
2019	03	ald55_66	9	1810
2019	03	ald67_74	0	42
2019	03	ald67_74	1	798
2019	03	ald67_74	2	1900
2019	03	ald67_74	3	655
2019	03	ald67_74	4	404
2019	03	ald67_74	5	612
2019	03	ald67_74	6	5
2019	03	ald67_74	7	125
2019	03	ald67_74	8	167
2019	03	ald67_74	9	180
2019	04	ald15_24	0	562
2019	04	ald15_24	1	59
2019	04	ald15_24	2	649
2019	04	ald15_24	3	616
2019	04	ald15_24	4	656
2019	04	ald15_24	5	5322
2019	04	ald15_24	6	257
2019	04	ald15_24	7	1650
2019	04	ald15_24	8	678
2019	04	ald15_24	9	1004
2019	04	ald25_54	0	1087
2019	04	ald25_54	1	4529
2019	04	ald25_54	2	13968
2019	04	ald25_54	3	7298
2019	04	ald25_54	4	3050
2019	04	ald25_54	5	12055
2019	04	ald25_54	6	452
2019	04	ald25_54	7	5344
2019	04	ald25_54	8	4700
2019	04	ald25_54	9	3008
2019	04	ald55_66	0	107
2019	04	ald55_66	1	2071
2019	04	ald55_66	2	4155
2019	04	ald55_66	3	2603
2019	04	ald55_66	4	1327
2019	04	ald55_66	5	4060
2019	04	ald55_66	6	155
2019	04	ald55_66	7	1298
2019	04	ald55_66	8	1830
2019	04	ald55_66	9	1057
2019	04	ald67_74	0	30
2019	04	ald67_74	1	201
2019	04	ald67_74	2	408
2019	04	ald67_74	3	205
2019	04	ald67_74	4	155
2019	04	ald67_74	5	599
2019	04	ald67_74	6	60
2019	04	ald67_74	7	131
2019	04	ald67_74	8	287
2019	04	ald67_74	9	224
2019	05	ald15_24	0	483
2019	05	ald15_24	1	75
2019	05	ald15_24	2	682
2019	05	ald15_24	3	600
2019	05	ald15_24	4	741
2019	05	ald15_24	5	5608
2019	05	ald15_24	6	324
2019	05	ald15_24	7	1753
2019	05	ald15_24	8	819
2019	05	ald15_24	9	1045
2019	05	ald25_54	0	442
2019	05	ald25_54	1	4523
2019	05	ald25_54	2	13278
2019	05	ald25_54	3	7341
2019	05	ald25_54	4	3106
2019	05	ald25_54	5	11507
2019	05	ald25_54	6	458
2019	05	ald25_54	7	5423
2019	05	ald25_54	8	5024
2019	05	ald25_54	9	3002
2019	05	ald55_66	0	124
2019	05	ald55_66	1	1969
2019	05	ald55_66	2	3927
2019	05	ald55_66	3	2446
2019	05	ald55_66	4	1287
2019	05	ald55_66	5	4095
2019	05	ald55_66	6	153
2019	05	ald55_66	7	1220
2019	05	ald55_66	8	1737
2019	05	ald55_66	9	1005
2019	05	ald67_74	0	37
2019	05	ald67_74	1	183
2019	05	ald67_74	2	378
2019	05	ald67_74	3	202
2019	05	ald67_74	4	178
2019	05	ald67_74	5	671
2019	05	ald67_74	6	95
2019	05	ald67_74	7	122
2019	05	ald67_74	8	295
2019	05	ald67_74	9	162
2019	06	ald15_24	0	596
2019	06	ald15_24	1	89
2019	06	ald15_24	2	931
2019	06	ald15_24	3	1069
2019	06	ald15_24	4	1090
2019	06	ald15_24	5	7599
2019	06	ald15_24	6	147
2019	06	ald15_24	7	2295
2019	06	ald15_24	8	644
2019	06	ald15_24	9	1598
2019	06	ald25_54	0	589
2019	06	ald25_54	1	8315
