STATISTIKKAAR	BOSTEDSFYLKE	ALDERSGRUPPE	YRKE_2	ANTALL
2019	01	ald15_24	00	112
2019	01	ald15_24	01	10
2019	01	ald15_24	02	17
2019	01	ald15_24	03	533
2019	01	ald15_24	11	25
2019	01	ald15_24	12	13
2019	01	ald15_24	13	8
2019	01	ald15_24	14	35
2019	01	ald15_24	21	39
2019	01	ald15_24	22	301
2019	01	ald15_24	23	376
2019	01	ald15_24	24	96
2019	01	ald15_24	25	47
2019	01	ald15_24	26	85
2019	01	ald15_24	31	100
2019	01	ald15_24	32	135
2019	01	ald15_24	33	377
2019	01	ald15_24	34	382
2019	01	ald15_24	35	104
2019	01	ald15_24	41	333
2019	01	ald15_24	42	282
2019	01	ald15_24	43	406
2019	01	ald15_24	44	29
2019	01	ald15_24	51	1045
2019	01	ald15_24	52	3804
2019	01	ald15_24	53	2735
2019	01	ald15_24	54	161
2019	01	ald15_24	61	188
2019	01	ald15_24	62	8
2019	01	ald15_24	71	814
2019	01	ald15_24	72	645
2019	01	ald15_24	73	25
2019	01	ald15_24	74	636
2019	01	ald15_24	75	58
2019	01	ald15_24	81	576
2019	01	ald15_24	82	30
2019	01	ald15_24	83	257
2019	01	ald15_24	91	377
2019	01	ald15_24	92	85
2019	01	ald15_24	93	570
2019	01	ald15_24	94	442
2019	01	ald15_24	96	230
2019	01	ald25_54	00	235
2019	01	ald25_54	01	375
2019	01	ald25_54	02	11
2019	01	ald25_54	03	56
2019	01	ald25_54	11	1253
2019	01	ald25_54	12	1569
2019	01	ald25_54	13	2647
2019	01	ald25_54	14	1444
2019	01	ald25_54	21	1851
2019	01	ald25_54	22	5482
2019	01	ald25_54	23	6818
2019	01	ald25_54	24	3553
2019	01	ald25_54	25	1483
2019	01	ald25_54	26	1634
2019	01	ald25_54	31	3658
2019	01	ald25_54	32	1447
2019	01	ald25_54	33	5762
2019	01	ald25_54	34	1245
2019	01	ald25_54	35	710
2019	01	ald25_54	41	2173
2019	01	ald25_54	42	899
2019	01	ald25_54	43	3343
2019	01	ald25_54	44	158
2019	01	ald25_54	51	2438
2019	01	ald25_54	52	5165
2019	01	ald25_54	53	9558
2019	01	ald25_54	54	999
2019	01	ald25_54	61	370
2019	01	ald25_54	62	23
2019	01	ald25_54	71	4102
2019	01	ald25_54	72	2368
2019	01	ald25_54	73	198
2019	01	ald25_54	74	1405
2019	01	ald25_54	75	299
2019	01	ald25_54	81	3477
2019	01	ald25_54	82	478
2019	01	ald25_54	83	2862
2019	01	ald25_54	91	2010
2019	01	ald25_54	92	79
2019	01	ald25_54	93	1172
2019	01	ald25_54	94	464
2019	01	ald25_54	95	11
2019	01	ald25_54	96	459
2019	01	ald55_66	00	45
2019	01	ald55_66	01	76
2019	01	ald55_66	03	9
2019	01	ald55_66	11	669
2019	01	ald55_66	12	732
2019	01	ald55_66	13	1220
2019	01	ald55_66	14	382
2019	01	ald55_66	21	499
2019	01	ald55_66	22	1236
2019	01	ald55_66	23	1593
2019	01	ald55_66	24	1357
2019	01	ald55_66	25	313
2019	01	ald55_66	26	449
2019	01	ald55_66	31	1235
2019	01	ald55_66	32	390
2019	01	ald55_66	33	1881
2019	01	ald55_66	34	273
2019	01	ald55_66	35	159
2019	01	ald55_66	41	928
2019	01	ald55_66	42	228
2019	01	ald55_66	43	993
2019	01	ald55_66	44	126
2019	01	ald55_66	51	631
2019	01	ald55_66	52	1096
2019	01	ald55_66	53	3049
2019	01	ald55_66	54	159
2019	01	ald55_66	61	98
2019	01	ald55_66	62	12
2019	01	ald55_66	71	682
2019	01	ald55_66	72	631
2019	01	ald55_66	73	68
2019	01	ald55_66	74	321
2019	01	ald55_66	75	77
2019	01	ald55_66	81	1066
2019	01	ald55_66	82	109
2019	01	ald55_66	83	1162
2019	01	ald55_66	91	664
