STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_3	antall
2019	01	ald15_24	000	112
2019	01	ald15_24	011	10
2019	01	ald15_24	021	17
2019	01	ald15_24	031	533
2019	01	ald15_24	111	4
2019	01	ald15_24	112	14
2019	01	ald15_24	122	8
2019	01	ald15_24	132	6
2019	01	ald15_24	142	29
2019	01	ald15_24	214	13
2019	01	ald15_24	216	14
2019	01	ald15_24	222	263
2019	01	ald15_24	226	19
2019	01	ald15_24	231	21
2019	01	ald15_24	233	6
2019	01	ald15_24	234	199
2019	01	ald15_24	235	29
2019	01	ald15_24	241	5
2019	01	ald15_24	242	21
2019	01	ald15_24	243	13
2019	01	ald15_24	251	30
2019	01	ald15_24	262	4
2019	01	ald15_24	263	25
2019	01	ald15_24	264	16
2019	01	ald15_24	265	13
2019	01	ald15_24	311	71
2019	01	ald15_24	312	6
2019	01	ald15_24	314	10
2019	01	ald15_24	321	37
2019	01	ald15_24	324	11
2019	01	ald15_24	325	86
2019	01	ald15_24	331	26
2019	01	ald15_24	332	113
2019	01	ald15_24	333	63
2019	01	ald15_24	334	8
2019	01	ald15_24	335	35
2019	01	ald15_24	341	44
2019	01	ald15_24	342	321
2019	01	ald15_24	343	10
2019	01	ald15_24	351	66
2019	01	ald15_24	411	248
2019	01	ald15_24	421	4
2019	01	ald15_24	422	207
2019	01	ald15_24	431	28
2019	01	ald15_24	432	227
2019	01	ald15_24	441	24
2019	01	ald15_24	511	10
2019	01	ald15_24	512	202
2019	01	ald15_24	513	415
2019	01	ald15_24	514	114
2019	01	ald15_24	515	106
2019	01	ald15_24	516	23
2019	01	ald15_24	522	2839
2019	01	ald15_24	523	14
2019	01	ald15_24	524	401
2019	01	ald15_24	531	754
2019	01	ald15_24	532	1816
2019	01	ald15_24	541	78
2019	01	ald15_24	611	53
2019	01	ald15_24	612	61
2019	01	ald15_24	613	73
2019	01	ald15_24	621	5
2019	01	ald15_24	711	472
2019	01	ald15_24	712	249
2019	01	ald15_24	713	44
2019	01	ald15_24	721	122
2019	01	ald15_24	722	48
2019	01	ald15_24	723	449
2019	01	ald15_24	731	5
2019	01	ald15_24	732	21
2019	01	ald15_24	741	485
2019	01	ald15_24	742	79
2019	01	ald15_24	751	18
2019	01	ald15_24	752	8
2019	01	ald15_24	754	18
2019	01	ald15_24	811	20
2019	01	ald15_24	812	23
2019	01	ald15_24	813	110
2019	01	ald15_24	814	56
2019	01	ald15_24	815	27
2019	01	ald15_24	816	208
2019	01	ald15_24	817	90
2019	01	ald15_24	818	24
2019	01	ald15_24	821	32
2019	01	ald15_24	832	59
2019	01	ald15_24	833	66
2019	01	ald15_24	834	101
2019	01	ald15_24	835	9
2019	01	ald15_24	911	320
2019	01	ald15_24	912	28
2019	01	ald15_24	921	87
2019	01	ald15_24	931	317
2019	01	ald15_24	932	106
2019	01	ald15_24	933	99
2019	01	ald15_24	941	415
2019	01	ald15_24	961	29
2019	01	ald15_24	962	103
2019	01	ald25_54	000	190
2019	01	ald25_54	011	373
2019	01	ald25_54	021	10
2019	01	ald25_54	031	58
2019	01	ald25_54	111	68
2019	01	ald25_54	112	1042
2019	01	ald25_54	121	750
2019	01	ald25_54	122	461
2019	01	ald25_54	131	21
2019	01	ald25_54	132	1018
2019	01	ald25_54	133	96
2019	01	ald25_54	134	1120
2019	01	ald25_54	141	70
2019	01	ald25_54	142	1126
2019	01	ald25_54	143	79
2019	01	ald25_54	211	71
2019	01	ald25_54	213	9
2019	01	ald25_54	214	901
2019	01	ald25_54	215	99
2019	01	ald25_54	216	370
2019	01	ald25_54	221	760
2019	01	ald25_54	222	4173
2019	01	ald25_54	225	64
2019	01	ald25_54	226	484
2019	01	ald25_54	231	282
2019	01	ald25_54	232	22
2019	01	ald25_54	233	1089
2019	01	ald25_54	234	4722
2019	01	ald25_54	235	252
2019	01	ald25_54	241	586
2019	01	ald25_54	242	1816
2019	01	ald25_54	243	309
2019	01	ald25_54	251	808
2019	01	ald25_54	252	49
2019	01	ald25_54	261	194
2019	01	ald25_54	262	103
2019	01	ald25_54	263	976
2019	01	ald25_54	264	157
2019	01	ald25_54	265	83
2019	01	ald25_54	311	2187
2019	01	ald25_54	312	395
2019	01	ald25_54	313	67
2019	01	ald25_54	314	109
2019	01	ald25_54	315	91
2019	01	ald25_54	321	416
2019	01	ald25_54	323	7
2019	01	ald25_54	324	75
2019	01	ald25_54	325	812
2019	01	ald25_54	331	726
2019	01	ald25_54	332	1731
2019	01	ald25_54	333	479
2019	01	ald25_54	334	360
2019	01	ald25_54	335	1276
2019	01	ald25_54	341	733
2019	01	ald25_54	342	260
2019	01	ald25_54	343	164
2019	01	ald25_54	351	441
2019	01	ald25_54	352	19
2019	01	ald25_54	411	1799
2019	01	ald25_54	413	5
2019	01	ald25_54	421	47
2019	01	ald25_54	422	670
2019	01	ald25_54	431	627
2019	01	ald25_54	432	1435
2019	01	ald25_54	441	140
2019	01	ald25_54	511	51
2019	01	ald25_54	512	425
2019	01	ald25_54	513	419
2019	01	ald25_54	514	362
2019	01	ald25_54	515	594
2019	01	ald25_54	516	131
2019	01	ald25_54	521	18
2019	01	ald25_54	522	3941
2019	01	ald25_54	523	17
2019	01	ald25_54	524	547
2019	01	ald25_54	531	3430
2019	01	ald25_54	532	5649
2019	01	ald25_54	541	825
2019	01	ald25_54	611	206
2019	01	ald25_54	612	57
2019	01	ald25_54	613	91
2019	01	ald25_54	621	12
2019	01	ald25_54	622	5
2019	01	ald25_54	711	2104
2019	01	ald25_54	712	1226
2019	01	ald25_54	713	450
2019	01	ald25_54	721	647
2019	01	ald25_54	722	153
2019	01	ald25_54	723	1377
2019	01	ald25_54	731	52
2019	01	ald25_54	732	106
2019	01	ald25_54	741	1067
2019	01	ald25_54	742	76
2019	01	ald25_54	751	115
2019	01	ald25_54	752	97
2019	01	ald25_54	753	14
2019	01	ald25_54	754	50
2019	01	ald25_54	811	215
2019	01	ald25_54	812	231
2019	01	ald25_54	813	633
2019	01	ald25_54	814	279
2019	01	ald25_54	815	202
2019	01	ald25_54	816	1217
2019	01	ald25_54	817	270
2019	01	ald25_54	818	211
2019	01	ald25_54	821	447
2019	01	ald25_54	831	40
2019	01	ald25_54	832	322
2019	01	ald25_54	833	1287
2019	01	ald25_54	834	796
2019	01	ald25_54	835	27
2019	01	ald25_54	911	1653
2019	01	ald25_54	912	126
2019	01	ald25_54	921	75
2019	01	ald25_54	931	680
2019	01	ald25_54	932	275
2019	01	ald25_54	933	117
2019	01	ald25_54	941	399
2019	01	ald25_54	951	11
2019	01	ald25_54	961	210
2019	01	ald25_54	962	196
2019	01	ald55_66	000	40
2019	01	ald55_66	011	75
2019	01	ald55_66	031	6
2019	01	ald55_66	111	44
2019	01	ald55_66	112	535
2019	01	ald55_66	121	382
2019	01	ald55_66	122	163
2019	01	ald55_66	131	8
2019	01	ald55_66	132	466
2019	01	ald55_66	133	38
2019	01	ald55_66	134	534
2019	01	ald55_66	141	17
2019	01	ald55_66	142	299
2019	01	ald55_66	143	32
2019	01	ald55_66	211	5
2019	01	ald55_66	214	233
2019	01	ald55_66	215	23
2019	01	ald55_66	216	57
2019	01	ald55_66	221	126
2019	01	ald55_66	222	943
2019	01	ald55_66	225	11
2019	01	ald55_66	226	86
2019	01	ald55_66	231	111
2019	01	ald55_66	232	10
2019	01	ald55_66	233	404
2019	01	ald55_66	234	877
2019	01	ald55_66	235	73
2019	01	ald55_66	241	187
2019	01	ald55_66	242	728
2019	01	ald55_66	243	64
2019	01	ald55_66	251	133
2019	01	ald55_66	252	13
2019	01	ald55_66	261	50
2019	01	ald55_66	262	28
2019	01	ald55_66	263	217
2019	01	ald55_66	264	73
2019	01	ald55_66	265	18
2019	01	ald55_66	311	576
2019	01	ald55_66	312	164
2019	01	ald55_66	313	31
2019	01	ald55_66	314	45
2019	01	ald55_66	315	60
2019	01	ald55_66	321	109
2019	01	ald55_66	325	238
2019	01	ald55_66	331	315
2019	01	ald55_66	332	482
2019	01	ald55_66	333	100
2019	01	ald55_66	334	192
2019	01	ald55_66	335	361
2019	01	ald55_66	341	180
2019	01	ald55_66	342	22
2019	01	ald55_66	343	28
2019	01	ald55_66	351	97
2019	01	ald55_66	411	791
2019	01	ald55_66	421	38
2019	01	ald55_66	422	146
