STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_2	antall
2019	01	ald15_24	00	112
2019	01	ald15_24	01	10
2019	01	ald15_24	02	17
2019	01	ald15_24	03	533
2019	01	ald15_24	11	18
2019	01	ald15_24	12	10
2019	01	ald15_24	13	10
2019	01	ald15_24	14	29
2019	01	ald15_24	21	31
2019	01	ald15_24	22	285
2019	01	ald15_24	23	255
2019	01	ald15_24	24	39
2019	01	ald15_24	25	30
2019	01	ald15_24	26	60
2019	01	ald15_24	31	90
2019	01	ald15_24	32	134
2019	01	ald15_24	33	245
2019	01	ald15_24	34	375
2019	01	ald15_24	35	68
2019	01	ald15_24	41	249
2019	01	ald15_24	42	211
2019	01	ald15_24	43	255
2019	01	ald15_24	44	24
2019	01	ald15_24	51	870
2019	01	ald15_24	52	3255
2019	01	ald15_24	53	2570
2019	01	ald15_24	54	78
2019	01	ald15_24	61	187
2019	01	ald15_24	62	8
2019	01	ald15_24	71	765
2019	01	ald15_24	72	619
2019	01	ald15_24	73	26
2019	01	ald15_24	74	564
2019	01	ald15_24	75	47
2019	01	ald15_24	81	558
2019	01	ald15_24	82	32
2019	01	ald15_24	83	235
2019	01	ald15_24	91	348
2019	01	ald15_24	92	87
2019	01	ald15_24	93	522
2019	01	ald15_24	94	415
2019	01	ald15_24	96	132
2019	01	ald25_54	00	190
2019	01	ald25_54	01	373
2019	01	ald25_54	02	10
2019	01	ald25_54	03	58
2019	01	ald25_54	11	1110
2019	01	ald25_54	12	1211
2019	01	ald25_54	13	2255
2019	01	ald25_54	14	1275
2019	01	ald25_54	21	1453
2019	01	ald25_54	22	5481
2019	01	ald25_54	23	6367
2019	01	ald25_54	24	2711
2019	01	ald25_54	25	857
2019	01	ald25_54	26	1513
2019	01	ald25_54	31	2849
2019	01	ald25_54	32	1310
2019	01	ald25_54	33	4572
2019	01	ald25_54	34	1157
2019	01	ald25_54	35	460
2019	01	ald25_54	41	1804
2019	01	ald25_54	42	717
2019	01	ald25_54	43	2062
2019	01	ald25_54	44	140
2019	01	ald25_54	51	1982
2019	01	ald25_54	52	4523
2019	01	ald25_54	53	9079
2019	01	ald25_54	54	825
2019	01	ald25_54	61	354
2019	01	ald25_54	62	17
2019	01	ald25_54	71	3780
2019	01	ald25_54	72	2177
2019	01	ald25_54	73	158
2019	01	ald25_54	74	1143
2019	01	ald25_54	75	276
2019	01	ald25_54	81	3258
2019	01	ald25_54	82	447
2019	01	ald25_54	83	2472
2019	01	ald25_54	91	1779
2019	01	ald25_54	92	75
2019	01	ald25_54	93	1072
2019	01	ald25_54	94	399
2019	01	ald25_54	95	11
2019	01	ald25_54	96	406
2019	01	ald55_66	00	40
2019	01	ald55_66	01	75
2019	01	ald55_66	03	6
2019	01	ald55_66	11	579
2019	01	ald55_66	12	545
2019	01	ald55_66	13	1046
2019	01	ald55_66	14	348
2019	01	ald55_66	21	320
2019	01	ald55_66	22	1166
2019	01	ald55_66	23	1475
2019	01	ald55_66	24	979
2019	01	ald55_66	25	146
2019	01	ald55_66	26	386
2019	01	ald55_66	31	876
2019	01	ald55_66	32	350
2019	01	ald55_66	33	1450
2019	01	ald55_66	34	230
2019	01	ald55_66	35	99
2019	01	ald55_66	41	793
2019	01	ald55_66	42	184
2019	01	ald55_66	43	750
2019	01	ald55_66	44	121
2019	01	ald55_66	51	519
2019	01	ald55_66	52	998
2019	01	ald55_66	53	2912
2019	01	ald55_66	54	121
2019	01	ald55_66	61	96
2019	01	ald55_66	62	12
2019	01	ald55_66	71	590
2019	01	ald55_66	72	566
2019	01	ald55_66	73	64
2019	01	ald55_66	74	266
2019	01	ald55_66	75	71
2019	01	ald55_66	81	988
2019	01	ald55_66	82	102
2019	01	ald55_66	83	1052
2019	01	ald55_66	91	596
2019	01	ald55_66	92	27
