STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_1	antall
2019	01	ald15_24	0	672
2019	01	ald15_24	1	67
2019	01	ald15_24	2	700
2019	01	ald15_24	3	912
2019	01	ald15_24	4	739
2019	01	ald15_24	5	6773
2019	01	ald15_24	6	195
2019	01	ald15_24	7	2021
2019	01	ald15_24	8	825
2019	01	ald15_24	9	1506
2019	01	ald25_54	0	631
2019	01	ald25_54	1	5851
2019	01	ald25_54	2	18382
2019	01	ald25_54	3	10348
2019	01	ald25_54	4	4723
2019	01	ald25_54	5	16409
2019	01	ald25_54	6	371
2019	01	ald25_54	7	7534
2019	01	ald25_54	8	6177
2019	01	ald25_54	9	3742
2019	01	ald55_66	0	122
2019	01	ald55_66	1	2518
2019	01	ald55_66	2	4472
2019	01	ald55_66	3	3005
2019	01	ald55_66	4	1848
2019	01	ald55_66	5	4550
2019	01	ald55_66	6	108
2019	01	ald55_66	7	1557
2019	01	ald55_66	8	2142
2019	01	ald55_66	9	1069
2019	01	ald67_74	0	7
2019	01	ald67_74	1	269
2019	01	ald67_74	2	418
2019	01	ald67_74	3	267
2019	01	ald67_74	4	231
2019	01	ald67_74	5	684
2019	01	ald67_74	6	26
2019	01	ald67_74	7	148
2019	01	ald67_74	8	260
2019	01	ald67_74	9	190
2019	02	ald15_24	0	1714
2019	02	ald15_24	1	252
2019	02	ald15_24	2	1839
2019	02	ald15_24	3	2830
2019	02	ald15_24	4	2721
2019	02	ald15_24	5	17398
2019	02	ald15_24	6	231
2019	02	ald15_24	7	3254
2019	02	ald15_24	8	822
2019	02	ald15_24	9	2696
2019	02	ald25_54	0	1926
2019	02	ald25_54	1	18022
2019	02	ald25_54	2	48470
2019	02	ald25_54	3	31651
2019	02	ald25_54	4	16298
2019	02	ald25_54	5	35253
2019	02	ald25_54	6	600
2019	02	ald25_54	7	12795
2019	02	ald25_54	8	7197
2019	02	ald25_54	9	8137
2019	02	ald55_66	0	266
2019	02	ald55_66	1	7009
2019	02	ald55_66	2	12279
2019	02	ald55_66	3	8287
2019	02	ald55_66	4	4504
2019	02	ald55_66	5	8234
2019	02	ald55_66	6	147
2019	02	ald55_66	7	2290
2019	02	ald55_66	8	2387
2019	02	ald55_66	9	1643
2019	02	ald67_74	0	49
2019	02	ald67_74	1	623
2019	02	ald67_74	2	961
2019	02	ald67_74	3	685
2019	02	ald67_74	4	499
2019	02	ald67_74	5	1107
2019	02	ald67_74	6	33
2019	02	ald67_74	7	177
2019	02	ald67_74	8	413
2019	02	ald67_74	9	244
2019	03	ald15_24	0	1123
2019	03	ald15_24	1	509
2019	03	ald15_24	2	6127
2019	03	ald15_24	3	5676
2019	03	ald15_24	4	5214
2019	03	ald15_24	5	24026
2019	03	ald15_24	6	31
2019	03	ald15_24	7	3588
2019	03	ald15_24	8	830
2019	03	ald15_24	9	2741
2019	03	ald25_54	0	2499
2019	03	ald25_54	1	35534
2019	03	ald25_54	2	129817
2019	03	ald25_54	3	62597
2019	03	ald25_54	4	23731
2019	03	ald25_54	5	46751
2019	03	ald25_54	6	252
2019	03	ald25_54	7	15603
2019	03	ald25_54	8	8630
2019	03	ald25_54	9	13337
2019	03	ald55_66	0	206
2019	03	ald55_66	1	12374
2019	03	ald55_66	2	25886
2019	03	ald55_66	3	13751
2019	03	ald55_66	4	5750
2019	03	ald55_66	5	7063
2019	03	ald55_66	6	60
2019	03	ald55_66	7	2951
2019	03	ald55_66	8	2227
2019	03	ald55_66	9	2271
2019	03	ald67_74	0	61
2019	03	ald67_74	1	1052
2019	03	ald67_74	2	2680
2019	03	ald67_74	3	1011
2019	03	ald67_74	4	594
2019	03	ald67_74	5	806
2019	03	ald67_74	6	8
2019	03	ald67_74	7	210
2019	03	ald67_74	8	317
2019	03	ald67_74	9	241
2019	04	ald15_24	0	549
2019	04	ald15_24	1	48
2019	04	ald15_24	2	475
2019	04	ald15_24	3	501
2019	04	ald15_24	4	511
2019	04	ald15_24	5	4793
2019	04	ald15_24	6	247
2019	04	ald15_24	7	1486
2019	04	ald15_24	8	577
2019	04	ald15_24	9	904
2019	04	ald25_54	0	1073
2019	04	ald25_54	1	4299
2019	04	ald25_54	2	13227
2019	04	ald25_54	3	6402
2019	04	ald25_54	4	2660
2019	04	ald25_54	5	11203
2019	04	ald25_54	6	445
2019	04	ald25_54	7	4964
2019	04	ald25_54	8	4190
2019	04	ald25_54	9	2710
2019	04	ald55_66	0	102
2019	04	ald55_66	1	1977
2019	04	ald55_66	2	3941
2019	04	ald55_66	3	2244
2019	04	ald55_66	4	1187
2019	04	ald55_66	5	3876
2019	04	ald55_66	6	149
2019	04	ald55_66	7	1184
2019	04	ald55_66	8	1639
2019	04	ald55_66	9	980
2019	04	ald67_74	0	27
2019	04	ald67_74	1	198
2019	04	ald67_74	2	393
2019	04	ald67_74	3	186
2019	04	ald67_74	4	151
2019	04	ald67_74	5	585
2019	04	ald67_74	6	57
2019	04	ald67_74	7	123
2019	04	ald67_74	8	260
2019	04	ald67_74	9	222
2019	05	ald15_24	0	481
2019	05	ald15_24	1	72
2019	05	ald15_24	2	544
2019	05	ald15_24	3	491
2019	05	ald15_24	4	674
2019	05	ald15_24	5	5297
2019	05	ald15_24	6	402
2019	05	ald15_24	7	1578
2019	05	ald15_24	8	763
2019	05	ald15_24	9	971
2019	05	ald25_54	0	415
2019	05	ald25_54	1	4127
2019	05	ald25_54	2	12484
2019	05	ald25_54	3	6165
2019	05	ald25_54	4	2710
2019	05	ald25_54	5	10928
2019	05	ald25_54	6	455
2019	05	ald25_54	7	5091
2019	05	ald25_54	8	4745
2019	05	ald25_54	9	2813
2019	05	ald55_66	0	107
2019	05	ald55_66	1	1798
2019	05	ald55_66	2	3680
2019	05	ald55_66	3	2141
2019	05	ald55_66	4	1146
2019	05	ald55_66	5	3953
2019	05	ald55_66	6	149
2019	05	ald55_66	7	1100
2019	05	ald55_66	8	1633
2019	05	ald55_66	9	974
2019	05	ald67_74	0	35
2019	05	ald67_74	1	172
2019	05	ald67_74	2	350
