STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_1	antall
2018	01	ald15_24	0	635
2018	01	ald15_24	1	58
2018	01	ald15_24	2	688
2018	01	ald15_24	3	892
2018	01	ald15_24	4	714
2018	01	ald15_24	5	6702
2018	01	ald15_24	6	179
2018	01	ald15_24	7	1946
2018	01	ald15_24	8	791
2018	01	ald15_24	9	1519
2018	01	ald25_54	0	687
2018	01	ald25_54	1	5927
2018	01	ald25_54	2	17928
2018	01	ald25_54	3	10329
2018	01	ald25_54	4	4757
2018	01	ald25_54	5	16334
2018	01	ald25_54	6	389
2018	01	ald25_54	7	7575
2018	01	ald25_54	8	6229
2018	01	ald25_54	9	3828
2018	01	ald55_66	0	190
2018	01	ald55_66	1	2456
2018	01	ald55_66	2	4396
2018	01	ald55_66	3	2903
2018	01	ald55_66	4	1797
2018	01	ald55_66	5	4374
2018	01	ald55_66	6	105
2018	01	ald55_66	7	1555
2018	01	ald55_66	8	2056
2018	01	ald55_66	9	1023
2018	01	ald67_74	0	105
2018	01	ald67_74	1	273
2018	01	ald67_74	2	402
2018	01	ald67_74	3	246
2018	01	ald67_74	4	246
2018	01	ald67_74	5	694
2018	01	ald67_74	6	34
2018	01	ald67_74	7	132
2018	01	ald67_74	8	250
2018	01	ald67_74	9	168
2018	02	ald15_24	0	1685
2018	02	ald15_24	1	241
2018	02	ald15_24	2	1609
2018	02	ald15_24	3	2549
2018	02	ald15_24	4	2866
2018	02	ald15_24	5	17505
2018	02	ald15_24	6	219
2018	02	ald15_24	7	3196
2018	02	ald15_24	8	789
2018	02	ald15_24	9	2710
2018	02	ald25_54	0	2158
2018	02	ald25_54	1	18078
2018	02	ald25_54	2	47208
2018	02	ald25_54	3	31274
2018	02	ald25_54	4	16119
2018	02	ald25_54	5	35166
2018	02	ald25_54	6	563
2018	02	ald25_54	7	12451
2018	02	ald25_54	8	7072
2018	02	ald25_54	9	8130
2018	02	ald55_66	0	370
2018	02	ald55_66	1	6696
2018	02	ald55_66	2	11841
2018	02	ald55_66	3	7832
2018	02	ald55_66	4	4378
2018	02	ald55_66	5	8034
