STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_2	antall
2018	01	ald15_24	00	156
2018	01	ald15_24	01	12
2018	01	ald15_24	02	25
2018	01	ald15_24	03	442
2018	01	ald15_24	11	15
2018	01	ald15_24	12	6
2018	01	ald15_24	13	8
2018	01	ald15_24	14	29
2018	01	ald15_24	21	25
2018	01	ald15_24	22	282
2018	01	ald15_24	23	258
2018	01	ald15_24	24	34
2018	01	ald15_24	25	22
2018	01	ald15_24	26	67
2018	01	ald15_24	31	101
2018	01	ald15_24	32	110
2018	01	ald15_24	33	266
2018	01	ald15_24	34	343
2018	01	ald15_24	35	72
2018	01	ald15_24	41	236
2018	01	ald15_24	42	194
2018	01	ald15_24	43	260
2018	01	ald15_24	44	24
2018	01	ald15_24	51	780
2018	01	ald15_24	52	3357
2018	01	ald15_24	53	2460
2018	01	ald15_24	54	105
2018	01	ald15_24	61	173
2018	01	ald15_24	62	6
2018	01	ald15_24	71	750
2018	01	ald15_24	72	586
2018	01	ald15_24	73	24
2018	01	ald15_24	74	537
2018	01	ald15_24	75	49
2018	01	ald15_24	81	530
2018	01	ald15_24	82	27
2018	01	ald15_24	83	234
2018	01	ald15_24	91	384
2018	01	ald15_24	92	75
2018	01	ald15_24	93	544
2018	01	ald15_24	94	399
2018	01	ald15_24	96	115
2018	01	ald25_54	00	257
2018	01	ald25_54	01	369
2018	01	ald25_54	02	12
2018	01	ald25_54	03	49
2018	01	ald25_54	11	1137
2018	01	ald25_54	12	1210
2018	01	ald25_54	13	2271
2018	01	ald25_54	14	1309
2018	01	ald25_54	21	1459
2018	01	ald25_54	22	5355
2018	01	ald25_54	23	6179
2018	01	ald25_54	24	2622
2018	01	ald25_54	25	819
2018	01	ald25_54	26	1494
2018	01	ald25_54	31	2774
2018	01	ald25_54	32	1321
2018	01	ald25_54	33	4728
2018	01	ald25_54	34	1073
2018	01	ald25_54	35	433
2018	01	ald25_54	41	1842
2018	01	ald25_54	42	703
2018	01	ald25_54	43	2064
2018	01	ald25_54	44	148
2018	01	ald25_54	51	2002
2018	01	ald25_54	52	4626
2018	01	ald25_54	53	8925
2018	01	ald25_54	54	781
2018	01	ald25_54	61	370
2018	01	ald25_54	62	19
2018	01	ald25_54	71	3819
2018	01	ald25_54	72	2182
2018	01	ald25_54	73	177
2018	01	ald25_54	74	1102
2018	01	ald25_54	75	295
2018	01	ald25_54	81	3294
