STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_4	antall
2017	01	ald15_24	0000	114
2017	01	ald15_24	0110	16
2017	01	ald15_24	0210	32
2017	01	ald15_24	0310	527
2017	01	ald15_24	1120	13
2017	01	ald15_24	1412	6
2017	01	ald15_24	1420	53
2017	01	ald15_24	2142	8
2017	01	ald15_24	2166	8
2017	01	ald15_24	2223	190
2017	01	ald15_24	2224	62
2017	01	ald15_24	2264	11
2017	01	ald15_24	2310	12
2017	01	ald15_24	2330	8
2017	01	ald15_24	2341	137
2017	01	ald15_24	2342	49
2017	01	ald15_24	2354	7
2017	01	ald15_24	2355	16
2017	01	ald15_24	2359	4
2017	01	ald15_24	2422	7
2017	01	ald15_24	2431	12
2017	01	ald15_24	2511	4
2017	01	ald15_24	2512	4
2017	01	ald15_24	2519	6
2017	01	ald15_24	2635	34
2017	01	ald15_24	2642	10
2017	01	ald15_24	2643	9
2017	01	ald15_24	2652	4
2017	01	ald15_24	3112	14
2017	01	ald15_24	3114	13
2017	01	ald15_24	3115	8
2017	01	ald15_24	3118	4
2017	01	ald15_24	3119	26
2017	01	ald15_24	3123	4
2017	01	ald15_24	3141	6
2017	01	ald15_24	3211	11
2017	01	ald15_24	3212	20
2017	01	ald15_24	3213	5
2017	01	ald15_24	3240	12
2017	01	ald15_24	3254	4
2017	01	ald15_24	3256	12
2017	01	ald15_24	3258	49
2017	01	ald15_24	3312	13
2017	01	ald15_24	3313	10
2017	01	ald15_24	3321	6
2017	01	ald15_24	3322	92
2017	01	ald15_24	3323	5
2017	01	ald15_24	3331	10
2017	01	ald15_24	3333	66
2017	01	ald15_24	3334	8
2017	01	ald15_24	3343	8
2017	01	ald15_24	3351	17
2017	01	ald15_24	3353	9
2017	01	ald15_24	3355	23
2017	01	ald15_24	3359	5
2017	01	ald15_24	3412	20
2017	01	ald15_24	3413	10
2017	01	ald15_24	3421	53
2017	01	ald15_24	3422	120
2017	01	ald15_24	3423	113
2017	01	ald15_24	3432	5
2017	01	ald15_24	3511	38
2017	01	ald15_24	3512	26
2017	01	ald15_24	4110	280
2017	01	ald15_24	4221	5
2017	01	ald15_24	4222	19
2017	01	ald15_24	4224	65
2017	01	ald15_24	4226	88
2017	01	ald15_24	4311	35
2017	01	ald15_24	4321	236
2017	01	ald15_24	4322	5
2017	01	ald15_24	4323	22
2017	01	ald15_24	4412	16
2017	01	ald15_24	4415	5
2017	01	ald15_24	5113	4
2017	01	ald15_24	5120	158
2017	01	ald15_24	5131	287
2017	01	ald15_24	5132	69
2017	01	ald15_24	5141	121
2017	01	ald15_24	5142	10
2017	01	ald15_24	5153	90
2017	01	ald15_24	5164	14
2017	01	ald15_24	5222	16
2017	01	ald15_24	5223	2979
2017	01	ald15_24	5230	7
2017	01	ald15_24	5244	89
2017	01	ald15_24	5245	56
2017	01	ald15_24	5246	346
2017	01	ald15_24	5249	18
2017	01	ald15_24	5311	627
2017	01	ald15_24	5312	67
2017	01	ald15_24	5321	557
2017	01	ald15_24	5322	85
2017	01	ald15_24	5329	999
2017	01	ald15_24	5413	40
2017	01	ald15_24	5414	46
2017	01	ald15_24	5419	29
2017	01	ald15_24	6111	12
2017	01	ald15_24	6113	42
2017	01	ald15_24	6121	39
2017	01	ald15_24	6122	10
2017	01	ald15_24	6130	72
2017	01	ald15_24	6210	4
2017	01	ald15_24	7112	25
2017	01	ald15_24	7113	4
2017	01	ald15_24	7114	48
2017	01	ald15_24	7115	382
2017	01	ald15_24	7119	8
2017	01	ald15_24	7121	4
2017	01	ald15_24	7122	5
2017	01	ald15_24	7124	7
2017	01	ald15_24	7125	7
2017	01	ald15_24	7126	186
2017	01	ald15_24	7127	19
2017	01	ald15_24	7131	37
2017	01	ald15_24	7132	8
2017	01	ald15_24	7133	8
2017	01	ald15_24	7211	5
2017	01	ald15_24	7212	18
2017	01	ald15_24	7213	38
2017	01	ald15_24	7214	40
2017	01	ald15_24	7215	5
2017	01	ald15_24	7222	13
2017	01	ald15_24	7223	38
2017	01	ald15_24	7231	253
2017	01	ald15_24	7233	153
2017	01	ald15_24	7322	7
2017	01	ald15_24	7323	4
2017	01	ald15_24	7411	364
2017	01	ald15_24	7412	35
2017	01	ald15_24	7413	55
2017	01	ald15_24	7421	5
2017	01	ald15_24	7422	64
2017	01	ald15_24	7511	4
2017	01	ald15_24	7512	15
2017	01	ald15_24	7522	8
2017	01	ald15_24	7549	7
2017	01	ald15_24	8111	8
2017	01	ald15_24	8114	18
2017	01	ald15_24	8121	26
2017	01	ald15_24	8131	126
2017	01	ald15_24	8141	6
2017	01	ald15_24	8142	15
2017	01	ald15_24	8143	33
2017	01	ald15_24	8157	39
