STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_2	antall
2017	01	ald15_24	00	114
2017	01	ald15_24	01	16
2017	01	ald15_24	02	32
2017	01	ald15_24	03	527
2017	01	ald15_24	11	15
2017	01	ald15_24	12	9
2017	01	ald15_24	13	5
2017	01	ald15_24	14	61
2017	01	ald15_24	21	30
2017	01	ald15_24	22	269
2017	01	ald15_24	23	235
2017	01	ald15_24	24	26
2017	01	ald15_24	25	18
2017	01	ald15_24	26	69
2017	01	ald15_24	31	87
2017	01	ald15_24	32	117
2017	01	ald15_24	33	280
2017	01	ald15_24	34	327
2017	01	ald15_24	35	68
2017	01	ald15_24	41	283
2017	01	ald15_24	42	188
2017	01	ald15_24	43	298
2017	01	ald15_24	44	22
2017	01	ald15_24	51	757
2017	01	ald15_24	52	3515
2017	01	ald15_24	53	2335
2017	01	ald15_24	54	117
2017	01	ald15_24	61	175
2017	01	ald15_24	62	5
2017	01	ald15_24	71	748
2017	01	ald15_24	72	565
2017	01	ald15_24	73	17
2017	01	ald15_24	74	523
2017	01	ald15_24	75	41
2017	01	ald15_24	81	593
2017	01	ald15_24	82	43
2017	01	ald15_24	83	215
2017	01	ald15_24	91	382
2017	01	ald15_24	92	71
2017	01	ald15_24	93	495
2017	01	ald15_24	94	365
2017	01	ald15_24	96	124
2017	01	ald25_54	00	278
2017	01	ald25_54	01	387
2017	01	ald25_54	02	14
2017	01	ald25_54	03	42
2017	01	ald25_54	11	1136
2017	01	ald25_54	12	1199
2017	01	ald25_54	13	2319
2017	01	ald25_54	14	1319
2017	01	ald25_54	21	1436
2017	01	ald25_54	22	5165
2017	01	ald25_54	23	6017
2017	01	ald25_54	24	2461
2017	01	ald25_54	25	787
2017	01	ald25_54	26	1481
2017	01	ald25_54	31	2724
2017	01	ald25_54	32	1300
2017	01	ald25_54	33	4811
2017	01	ald25_54	34	991
2017	01	ald25_54	35	441
2017	01	ald25_54	41	1900
2017	01	ald25_54	42	707
2017	01	ald25_54	43	2054
2017	01	ald25_54	44	157
2017	01	ald25_54	51	1947
2017	01	ald25_54	52	4681
2017	01	ald25_54	53	8871
2017	01	ald25_54	54	759
2017	01	ald25_54	61	349
2017	01	ald25_54	62	20
2017	01	ald25_54	71	3688
2017	01	ald25_54	72	2173
2017	01	ald25_54	73	186
2017	01	ald25_54	74	1110
2017	01	ald25_54	75	272
2017	01	ald25_54	81	3266
2017	01	ald25_54	82	488
2017	01	ald25_54	83	2433
2017	01	ald25_54	91	1861
2017	01	ald25_54	92	70
2017	01	ald25_54	93	993
2017	01	ald25_54	94	394
2017	01	ald25_54	95	10
2017	01	ald25_54	96	473
2017	01	ald55_66	00	141
2017	01	ald55_66	01	57
2017	01	ald55_66	11	538
2017	01	ald55_66	12	503
2017	01	ald55_66	13	1007
2017	01	ald55_66	14	315
2017	01	ald55_66	21	277
2017	01	ald55_66	22	1146
2017	01	ald55_66	23	1523
2017	01	ald55_66	24	880
2017	01	ald55_66	25	111
2017	01	ald55_66	26	358
2017	01	ald55_66	31	804
2017	01	ald55_66	32	319
2017	01	ald55_66	33	1405
2017	01	ald55_66	34	176
2017	01	ald55_66	35	94
2017	01	ald55_66	41	771
2017	01	ald55_66	42	181
2017	01	ald55_66	43	731
2017	01	ald55_66	44	107
2017	01	ald55_66	51	498
2017	01	ald55_66	52	990
2017	01	ald55_66	53	2728
2017	01	ald55_66	54	99
2017	01	ald55_66	61	88
2017	01	ald55_66	62	5
2017	01	ald55_66	71	546
2017	01	ald55_66	72	550
2017	01	ald55_66	73	64
2017	01	ald55_66	74	248
2017	01	ald55_66	75	55
2017	01	ald55_66	81	920
2017	01	ald55_66	82	94
2017	01	ald55_66	83	926
2017	01	ald55_66	91	600
2017	01	ald55_66	92	23
2017	01	ald55_66	93	191
2017	01	ald55_66	94	104
2017	01	ald55_66	96	96
2017	01	ald67_74	00	100
2017	01	ald67_74	11	111
2017	01	ald67_74	12	50
2017	01	ald67_74	13	69
2017	01	ald67_74	14	31
2017	01	ald67_74	21	37
2017	01	ald67_74	22	102
2017	01	ald67_74	23	121
2017	01	ald67_74	24	67
2017	01	ald67_74	25	5
2017	01	ald67_74	26	52
2017	01	ald67_74	31	68
2017	01	ald67_74	32	19
2017	01	ald67_74	33	134
2017	01	ald67_74	34	25
2017	01	ald67_74	35	10
2017	01	ald67_74	41	114
2017	01	ald67_74	42	27
2017	01	ald67_74	43	80
2017	01	ald67_74	44	5
2017	01	ald67_74	51	135
2017	01	ald67_74	52	162
2017	01	ald67_74	53	366
2017	01	ald67_74	54	7
2017	01	ald67_74	61	44
2017	01	ald67_74	71	43
2017	01	ald67_74	72	53
2017	01	ald67_74	73	10
2017	01	ald67_74	74	10
2017	01	ald67_74	75	5
2017	01	ald67_74	81	36
2017	01	ald67_74	83	193
2017	01	ald67_74	91	64
2017	01	ald67_74	92	4
2017	01	ald67_74	93	37
2017	01	ald67_74	94	26
2017	01	ald67_74	96	29
2017	02	ald15_24	00	227
2017	02	ald15_24	01	26
2017	02	ald15_24	02	118
2017	02	ald15_24	03	1390
2017	02	ald15_24	11	32
2017	02	ald15_24	12	16
2017	02	ald15_24	13	18
2017	02	ald15_24	14	171
2017	02	ald15_24	21	74
2017	02	ald15_24	22	421
2017	02	ald15_24	23	630
2017	02	ald15_24	24	157
2017	02	ald15_24	25	139
2017	02	ald15_24	26	85
2017	02	ald15_24	31	198
2017	02	ald15_24	32	160
2017	02	ald15_24	33	861
2017	02	ald15_24	34	945
2017	02	ald15_24	35	234
2017	02	ald15_24	41	656
2017	02	ald15_24	42	612
2017	02	ald15_24	43	1369
2017	02	ald15_24	44	34
2017	02	ald15_24	51	1908
2017	02	ald15_24	52	10094
2017	02	ald15_24	53	4878
2017	02	ald15_24	54	627
2017	02	ald15_24	61	232
2017	02	ald15_24	62	6
2017	02	ald15_24	71	1161
2017	02	ald15_24	72	778
2017	02	ald15_24	73	33
2017	02	ald15_24	74	1010
2017	02	ald15_24	75	97
2017	02	ald15_24	81	334
2017	02	ald15_24	82	25
2017	02	ald15_24	83	433
2017	02	ald15_24	91	786
2017	02	ald15_24	92	103
2017	02	ald15_24	93	908
2017	02	ald15_24	94	710
2017	02	ald15_24	96	180
2017	02	ald25_54	00	921
2017	02	ald25_54	01	1012
2017	02	ald25_54	02	43
2017	02	ald25_54	03	86
2017	02	ald25_54	11	3199
2017	02	ald25_54	12	5151
2017	02	ald25_54	13	6338
2017	02	ald25_54	14	3352
2017	02	ald25_54	21	6612
2017	02	ald25_54	22	9190
2017	02	ald25_54	23	13043
2017	02	ald25_54	24	8663
2017	02	ald25_54	25	5137
2017	02	ald25_54	26	3005
2017	02	ald25_54	31	8838
2017	02	ald25_54	32	2262
2017	02	ald25_54	33	15093
2017	02	ald25_54	34	2275
2017	02	ald25_54	35	1866
2017	02	ald25_54	41	4499
2017	02	ald25_54	42	1935
2017	02	ald25_54	43	8992
2017	02	ald25_54	44	311
2017	02	ald25_54	51	5784
2017	02	ald25_54	52	9941
2017	02	ald25_54	53	17055
2017	02	ald25_54	54	1877
2017	02	ald25_54	61	554
2017	02	ald25_54	62	20
2017	02	ald25_54	71	5895
2017	02	ald25_54	72	3111
2017	02	ald25_54	73	313
2017	02	ald25_54	74	2158
2017	02	ald25_54	75	572
2017	02	ald25_54	81	1813
2017	02	ald25_54	82	198
2017	02	ald25_54	83	4785
2017	02	ald25_54	91	3720
2017	02	ald25_54	92	110
2017	02	ald25_54	93	2198
2017	02	ald25_54	94	1144
2017	02	ald25_54	95	15
2017	02	ald25_54	96	712
2017	02	ald55_66	00	199
2017	02	ald55_66	01	119
2017	02	ald55_66	03	7
2017	02	ald55_66	11	1382
2017	02	ald55_66	12	1660
2017	02	ald55_66	13	2629
2017	02	ald55_66	14	680
2017	02	ald55_66	21	1835
2017	02	ald55_66	22	2263
2017	02	ald55_66	23	3309
2017	02	ald55_66	24	2450
2017	02	ald55_66	25	977
2017	02	ald55_66	26	630
2017	02	ald55_66	31	2305
2017	02	ald55_66	32	655
2017	02	ald55_66	33	3688
2017	02	ald55_66	34	442
2017	02	ald55_66	35	334
2017	02	ald55_66	41	1511
2017	02	ald55_66	42	326
2017	02	ald55_66	43	2167
2017	02	ald55_66	44	129
2017	02	ald55_66	51	1242
2017	02	ald55_66	52	1585
2017	02	ald55_66	53	4776
2017	02	ald55_66	54	242
2017	02	ald55_66	61	133
2017	02	ald55_66	62	9
2017	02	ald55_66	71	811
2017	02	ald55_66	72	680
2017	02	ald55_66	73	112
2017	02	ald55_66	74	374
2017	02	ald55_66	75	118
2017	02	ald55_66	81	568
2017	02	ald55_66	82	54
2017	02	ald55_66	83	1489
2017	02	ald55_66	91	745
2017	02	ald55_66	92	18
2017	02	ald55_66	93	289
2017	02	ald55_66	94	224
2017	02	ald55_66	95	5
2017	02	ald55_66	96	152
2017	02	ald67_74	00	91
2017	02	ald67_74	03	5
2017	02	ald67_74	11	211
2017	02	ald67_74	12	125
2017	02	ald67_74	13	188
2017	02	ald67_74	14	74
2017	02	ald67_74	21	167
2017	02	ald67_74	22	190
2017	02	ald67_74	23	242
2017	02	ald67_74	24	176
2017	02	ald67_74	25	31
2017	02	ald67_74	26	72
2017	02	ald67_74	31	195
2017	02	ald67_74	32	46
2017	02	ald67_74	33	265
2017	02	ald67_74	34	58
2017	02	ald67_74	35	27
2017	02	ald67_74	41	250
2017	02	ald67_74	42	38
2017	02	ald67_74	43	169
2017	02	ald67_74	44	5
2017	02	ald67_74	51	195
2017	02	ald67_74	52	222
2017	02	ald67_74	53	601
2017	02	ald67_74	54	23
2017	02	ald67_74	61	36
2017	02	ald67_74	71	41
2017	02	ald67_74	72	60
2017	02	ald67_74	73	11
2017	02	ald67_74	74	31
2017	02	ald67_74	75	6
2017	02	ald67_74	81	39
2017	02	ald67_74	83	306
2017	02	ald67_74	91	81
2017	02	ald67_74	93	38
2017	02	ald67_74	94	32
2017	02	ald67_74	96	60
2017	03	ald15_24	00	605
2017	03	ald15_24	01	42
2017	03	ald15_24	02	106
2017	03	ald15_24	03	836
2017	03	ald15_24	11	142
2017	03	ald15_24	12	73
2017	03	ald15_24	13	38
2017	03	ald15_24	14	248
2017	03	ald15_24	21	281
2017	03	ald15_24	22	799
2017	03	ald15_24	23	1423
2017	03	ald15_24	24	1237
2017	03	ald15_24	25	532
2017	03	ald15_24	26	632
2017	03	ald15_24	31	336
2017	03	ald15_24	32	426
2017	03	ald15_24	33	2572
2017	03	ald15_24	34	1207
2017	03	ald15_24	35	621
2017	03	ald15_24	41	2054
2017	03	ald15_24	42	1697
2017	03	ald15_24	43	1074
2017	03	ald15_24	44	63
2017	03	ald15_24	51	3942
2017	03	ald15_24	52	11923
2017	03	ald15_24	53	5934
2017	03	ald15_24	54	912
2017	03	ald15_24	61	31
2017	03	ald15_24	62	12
2017	03	ald15_24	71	1037
2017	03	ald15_24	72	599
2017	03	ald15_24	73	67
2017	03	ald15_24	74	1544
2017	03	ald15_24	75	210
2017	03	ald15_24	81	231
2017	03	ald15_24	82	9
2017	03	ald15_24	83	546
2017	03	ald15_24	91	817
2017	03	ald15_24	92	48
2017	03	ald15_24	93	585
2017	03	ald15_24	94	962
2017	03	ald15_24	95	5
2017	03	ald15_24	96	425
2017	03	ald25_54	00	1541
2017	03	ald25_54	01	911
2017	03	ald25_54	02	53
2017	03	ald25_54	03	224
2017	03	ald25_54	11	6877
2017	03	ald25_54	12	12795
2017	03	ald25_54	13	10501
2017	03	ald25_54	14	4898
2017	03	ald25_54	21	14846
2017	03	ald25_54	22	15402
2017	03	ald25_54	23	17643
2017	03	ald25_54	24	40306
2017	03	ald25_54	25	15257
2017	03	ald25_54	26	14411
2017	03	ald25_54	31	11251
2017	03	ald25_54	32	4439
2017	03	ald25_54	33	34980
2017	03	ald25_54	34	4782
2017	03	ald25_54	35	6379
2017	03	ald25_54	41	9396
2017	03	ald25_54	42	4950
2017	03	ald25_54	43	9168
2017	03	ald25_54	44	651
2017	03	ald25_54	51	11433
2017	03	ald25_54	52	13726
2017	03	ald25_54	53	17759
2017	03	ald25_54	54	2860
2017	03	ald25_54	61	207
2017	03	ald25_54	62	31
2017	03	ald25_54	71	8347
2017	03	ald25_54	72	2446
2017	03	ald25_54	73	563
2017	03	ald25_54	74	3331
2017	03	ald25_54	75	1043
2017	03	ald25_54	81	1621
2017	03	ald25_54	82	111
2017	03	ald25_54	83	6655
2017	03	ald25_54	91	7042
2017	03	ald25_54	92	40
2017	03	ald25_54	93	1855
2017	03	ald25_54	94	2800
2017	03	ald25_54	95	35
2017	03	ald25_54	96	1001
2017	03	ald55_66	00	269
2017	03	ald55_66	01	49
2017	03	ald55_66	03	11
2017	03	ald55_66	11	2888
2017	03	ald55_66	12	4111
2017	03	ald55_66	13	3761
2017	03	ald55_66	14	818
2017	03	ald55_66	21	2941
2017	03	ald55_66	22	3342
2017	03	ald55_66	23	3747
2017	03	ald55_66	24	9395
2017	03	ald55_66	25	2104
2017	03	ald55_66	26	2414
2017	03	ald55_66	31	2827
2017	03	ald55_66	32	1030
2017	03	ald55_66	33	7446
2017	03	ald55_66	34	787
2017	03	ald55_66	35	885
2017	03	ald55_66	41	2446
2017	03	ald55_66	42	908
2017	03	ald55_66	43	2058
2017	03	ald55_66	44	229
2017	03	ald55_66	51	1722
2017	03	ald55_66	52	1361
2017	03	ald55_66	53	3401
2017	03	ald55_66	54	308
2017	03	ald55_66	61	50
2017	03	ald55_66	62	7
2017	03	ald55_66	71	1223
2017	03	ald55_66	72	505
2017	03	ald55_66	73	202
2017	03	ald55_66	74	665
2017	03	ald55_66	75	189
2017	03	ald55_66	81	377
2017	03	ald55_66	82	24
2017	03	ald55_66	83	1759
2017	03	ald55_66	91	1134
2017	03	ald55_66	92	8
2017	03	ald55_66	93	244
2017	03	ald55_66	94	386
2017	03	ald55_66	96	232
2017	03	ald67_74	00	363
2017	03	ald67_74	03	6
2017	03	ald67_74	11	359
2017	03	ald67_74	12	274
2017	03	ald67_74	13	245
2017	03	ald67_74	14	105
2017	03	ald67_74	21	367
2017	03	ald67_74	22	352
2017	03	ald67_74	23	523
2017	03	ald67_74	24	697
2017	03	ald67_74	25	74
2017	03	ald67_74	26	279
2017	03	ald67_74	31	247
2017	03	ald67_74	32	98
2017	03	ald67_74	33	490
2017	03	ald67_74	34	85
2017	03	ald67_74	35	57
2017	03	ald67_74	41	337
2017	03	ald67_74	42	112
2017	03	ald67_74	43	190
2017	03	ald67_74	44	14
2017	03	ald67_74	51	239
2017	03	ald67_74	52	206
2017	03	ald67_74	53	291
2017	03	ald67_74	54	17
2017	03	ald67_74	71	72
2017	03	ald67_74	72	35
2017	03	ald67_74	73	19
2017	03	ald67_74	74	42
2017	03	ald67_74	75	11
2017	03	ald67_74	81	24
2017	03	ald67_74	83	317
2017	03	ald67_74	91	85
2017	03	ald67_74	92	8
2017	03	ald67_74	93	32
2017	03	ald67_74	94	26
2017	03	ald67_74	96	106
2017	04	ald15_24	00	91
2017	04	ald15_24	01	15
2017	04	ald15_24	02	49
2017	04	ald15_24	03	401
2017	04	ald15_24	11	7
2017	04	ald15_24	12	7
2017	04	ald15_24	13	7
2017	04	ald15_24	14	29
2017	04	ald15_24	21	9
2017	04	ald15_24	22	192
2017	04	ald15_24	23	131
2017	04	ald15_24	24	30
2017	04	ald15_24	25	23
2017	04	ald15_24	26	38
2017	04	ald15_24	31	71
2017	04	ald15_24	32	96
2017	04	ald15_24	33	152
2017	04	ald15_24	34	166
2017	04	ald15_24	35	47
2017	04	ald15_24	41	123
2017	04	ald15_24	42	170
2017	04	ald15_24	43	180
2017	04	ald15_24	44	19
2017	04	ald15_24	51	532
2017	04	ald15_24	52	2446
2017	04	ald15_24	53	1987
2017	04	ald15_24	54	58
2017	04	ald15_24	61	193
2017	04	ald15_24	62	22
2017	04	ald15_24	71	550
2017	04	ald15_24	72	444
2017	04	ald15_24	74	375
2017	04	ald15_24	75	37
2017	04	ald15_24	81	339
2017	04	ald15_24	82	4
2017	04	ald15_24	83	275
2017	04	ald15_24	91	258
2017	04	ald15_24	92	52
2017	04	ald15_24	93	273
2017	04	ald15_24	94	213
2017	04	ald15_24	96	73
2017	04	ald25_54	00	236
2017	04	ald25_54	01	730
2017	04	ald25_54	02	49
2017	04	ald25_54	03	96
2017	04	ald25_54	11	759
2017	04	ald25_54	12	918
2017	04	ald25_54	13	1659
2017	04	ald25_54	14	1037
2017	04	ald25_54	21	941
2017	04	ald25_54	22	3834
2017	04	ald25_54	23	4083
2017	04	ald25_54	24	2336
2017	04	ald25_54	25	546
2017	04	ald25_54	26	866
2017	04	ald25_54	31	1583
2017	04	ald25_54	32	984
2017	04	ald25_54	33	2819
2017	04	ald25_54	34	702
2017	04	ald25_54	35	256
2017	04	ald25_54	41	1016
2017	04	ald25_54	42	558
2017	04	ald25_54	43	1099
2017	04	ald25_54	44	107
2017	04	ald25_54	51	1454
2017	04	ald25_54	52	3252
2017	04	ald25_54	53	6193
2017	04	ald25_54	54	355
2017	04	ald25_54	61	416
2017	04	ald25_54	62	56
2017	04	ald25_54	71	2215
2017	04	ald25_54	72	1442
2017	04	ald25_54	73	69
2017	04	ald25_54	74	871
2017	04	ald25_54	75	242
2017	04	ald25_54	81	1951
2017	04	ald25_54	82	55
2017	04	ald25_54	83	2180
2017	04	ald25_54	91	1345
2017	04	ald25_54	92	89
2017	04	ald25_54	93	556
2017	04	ald25_54	94	336
2017	04	ald25_54	95	6
2017	04	ald25_54	96	362
2017	04	ald55_66	00	111
2017	04	ald55_66	01	45
