STATISTIKKAAR	BOSTEDSFYLKE	ALDERSGRUPPE	YRKE_1	ANTALL
2017	01	ald15_24	0	707
2017	01	ald15_24	1	114
2017	01	ald15_24	2	886
2017	01	ald15_24	3	1063
2017	01	ald15_24	4	1057
2017	01	ald15_24	5	7668
2017	01	ald15_24	6	187
2017	01	ald15_24	7	2058
2017	01	ald15_24	8	875
2017	01	ald15_24	9	1635
2017	01	ald25_54	0	760
2017	01	ald25_54	1	7028
2017	01	ald25_54	2	19616
2017	01	ald25_54	3	12751
2017	01	ald25_54	4	6547
2017	01	ald25_54	5	17899
2017	01	ald25_54	6	385
2017	01	ald25_54	7	8214
2017	01	ald25_54	8	6857
2017	01	ald25_54	9	4119
2017	01	ald55_66	0	222
2017	01	ald55_66	1	2794
2017	01	ald55_66	2	5156
2017	01	ald55_66	3	3607
2017	01	ald55_66	4	2165
2017	01	ald55_66	5	4643
2017	01	ald55_66	6	97
2017	01	ald55_66	7	1660
2017	01	ald55_66	8	2170
2017	01	ald55_66	9	1099
2017	01	ald67_74	0	109
2017	01	ald67_74	1	277
2017	01	ald67_74	2	450
2017	01	ald67_74	3	305
2017	01	ald67_74	4	273
2017	01	ald67_74	5	691
2017	01	ald67_74	6	49
2017	01	ald67_74	7	125
2017	01	ald67_74	8	238
2017	01	ald67_74	9	174
2017	02	ald15_24	0	1831
2017	02	ald15_24	1	219
2017	02	ald15_24	2	1964
2017	02	ald15_24	3	2615
2017	02	ald15_24	4	2784
2017	02	ald15_24	5	17121
2017	02	ald15_24	6	247
2017	02	ald15_24	7	3465
2017	02	ald15_24	8	747
2017	02	ald15_24	9	2800
2017	02	ald25_54	0	2176
2017	02	ald25_54	1	23921
2017	02	ald25_54	2	57860
2017	02	ald25_54	3	36246
2017	02	ald25_54	4	17221
2017	02	ald25_54	5	32925
2017	02	ald25_54	6	541
2017	02	ald25_54	7	14180
2017	02	ald25_54	8	7002
2017	02	ald25_54	9	8168
2017	02	ald55_66	0	388
2017	02	ald55_66	1	8673
2017	02	ald55_66	2	15933
2017	02	ald55_66	3	9413
2017	02	ald55_66	4	4899
2017	02	ald55_66	5	7806
2017	02	ald55_66	6	130
2017	02	ald55_66	7	2511
2017	02	ald55_66	8	2233
2017	02	ald55_66	9	1430
2017	02	ald67_74	0	188
2017	02	ald67_74	1	711
2017	02	ald67_74	2	1307
2017	02	ald67_74	3	712
2017	02	ald67_74	4	536
2017	02	ald67_74	5	1044
2017	02	ald67_74	6	32
2017	02	ald67_74	7	207
2017	02	ald67_74	8	425
2017	02	ald67_74	9	215
2017	03	ald15_24	0	1325
2017	03	ald15_24	1	407
2017	03	ald15_24	2	3681
2017	03	ald15_24	3	3729
