STATISTIKKAAR	ARBEIDSFYLKE	ALDERSGRUPPE	YRKE_1	antall
2017	01	ald15_24	0	689
2017	01	ald15_24	1	90
2017	01	ald15_24	2	647
2017	01	ald15_24	3	879
2017	01	ald15_24	4	791
2017	01	ald15_24	5	6724
2017	01	ald15_24	6	180
2017	01	ald15_24	7	1894
2017	01	ald15_24	8	851
2017	01	ald15_24	9	1440
2017	01	ald25_54	0	721
2017	01	ald25_54	1	5973
2017	01	ald25_54	2	17347
2017	01	ald25_54	3	10267
2017	01	ald25_54	4	4818
2017	01	ald25_54	5	16258
2017	01	ald25_54	6	369
2017	01	ald25_54	7	7429
2017	01	ald25_54	8	6187
2017	01	ald25_54	9	3801
2017	01	ald55_66	0	200
2017	01	ald55_66	1	2363
2017	01	ald55_66	2	4295
2017	01	ald55_66	3	2798
2017	01	ald55_66	4	1790
2017	01	ald55_66	5	4315
2017	01	ald55_66	6	93
2017	01	ald55_66	7	1463
2017	01	ald55_66	8	1940
2017	01	ald55_66	9	1015
2017	01	ald67_74	0	102
2017	01	ald67_74	1	261
2017	01	ald67_74	2	384
2017	01	ald67_74	3	256
2017	01	ald67_74	4	226
2017	01	ald67_74	5	670
2017	01	ald67_74	6	46
2017	01	ald67_74	7	121
2017	01	ald67_74	8	230
2017	01	ald67_74	9	160
2017	02	ald15_24	0	1761
2017	02	ald15_24	1	237
2017	02	ald15_24	2	1506
2017	02	ald15_24	3	2398
2017	02	ald15_24	4	2671
2017	02	ald15_24	5	17507
2017	02	ald15_24	6	238
2017	02	ald15_24	7	3079
2017	02	ald15_24	8	792
2017	02	ald15_24	9	2687
2017	02	ald25_54	0	2062
2017	02	ald25_54	1	18040
2017	02	ald25_54	2	45650
2017	02	ald25_54	3	30334
2017	02	ald25_54	4	15737
2017	02	ald25_54	5	34657
2017	02	ald25_54	6	574
2017	02	ald25_54	7	12049
2017	02	ald25_54	8	6796
2017	02	ald25_54	9	7899
2017	02	ald55_66	0	325
2017	02	ald55_66	1	6351
2017	02	ald55_66	2	11464
2017	02	ald55_66	3	7424
2017	02	ald55_66	4	4133
2017	02	ald55_66	5	7845
2017	02	ald55_66	6	142
2017	02	ald55_66	7	2095
2017	02	ald55_66	8	2111
2017	02	ald55_66	9	1433
2017	02	ald67_74	0	96
2017	02	ald67_74	1	598
2017	02	ald67_74	2	878
2017	02	ald67_74	3	591
2017	02	ald67_74	4	462
2017	02	ald67_74	5	1041
2017	02	ald67_74	6	37
2017	02	ald67_74	7	149
2017	02	ald67_74	8	348
2017	02	ald67_74	9	214
2017	03	ald15_24	0	1589
2017	03	ald15_24	1	501
2017	03	ald15_24	2	4904
2017	03	ald15_24	3	5162
2017	03	ald15_24	4	4888
2017	03	ald15_24	5	22711
2017	03	ald15_24	6	43
2017	03	ald15_24	7	3457
2017	03	ald15_24	8	786
2017	03	ald15_24	9	2842
2017	03	ald25_54	0	2729
2017	03	ald25_54	1	35071
2017	03	ald25_54	2	117865
2017	03	ald25_54	3	61831
2017	03	ald25_54	4	24165
2017	03	ald25_54	5	45778
2017	03	ald25_54	6	238
2017	03	ald25_54	7	15730
2017	03	ald25_54	8	8387
2017	03	ald25_54	9	12773
2017	03	ald55_66	0	330
2017	03	ald55_66	1	11578
2017	03	ald55_66	2	23943
2017	03	ald55_66	3	12975
2017	03	ald55_66	4	5641
2017	03	ald55_66	5	6792
2017	03	ald55_66	6	57
2017	03	ald55_66	7	2784
2017	03	ald55_66	8	2160
2017	03	ald55_66	9	2005
2017	03	ald67_74	0	370
2017	03	ald67_74	1	983
2017	03	ald67_74	2	2292
2017	03	ald67_74	3	977
2017	03	ald67_74	4	653
2017	03	ald67_74	5	753
2017	03	ald67_74	6	4
2017	03	ald67_74	7	179
2017	03	ald67_74	8	344
2017	03	ald67_74	9	258
2017	04	ald15_24	0	556
2017	04	ald15_24	1	50
2017	04	ald15_24	2	423
2017	04	ald15_24	3	532
2017	04	ald15_24	4	492
2017	04	ald15_24	5	5023
2017	04	ald15_24	6	215
2017	04	ald15_24	7	1409
2017	04	ald15_24	8	618
2017	04	ald15_24	9	869
2017	04	ald25_54	0	1111
2017	04	ald25_54	1	4373
2017	04	ald25_54	2	12606
2017	04	ald25_54	3	6344
2017	04	ald25_54	4	2780
2017	04	ald25_54	5	11254
2017	04	ald25_54	6	472
2017	04	ald25_54	7	4839
2017	04	ald25_54	8	4186
2017	04	ald25_54	9	2694
2017	04	ald55_66	0	158
2017	04	ald55_66	1	1860
2017	04	ald55_66	2	3883
2017	04	ald55_66	3	2164
2017	04	ald55_66	4	1178
2017	04	ald55_66	5	3844
2017	04	ald55_66	6	138
2017	04	ald55_66	7	1116
2017	04	ald55_66	8	1567
2017	04	ald55_66	9	1005
2017	04	ald67_74	0	78
2017	04	ald67_74	1	187
2017	04	ald67_74	2	357
2017	04	ald67_74	3	191
2017	04	ald67_74	4	146
2017	04	ald67_74	5	556
2017	04	ald67_74	6	58
2017	04	ald67_74	7	117
2017	04	ald67_74	8	232
2017	04	ald67_74	9	182
2017	05	ald15_24	0	447
2017	05	ald15_24	1	78
2017	05	ald15_24	2	438
2017	05	ald15_24	3	489
2017	05	ald15_24	4	656
2017	05	ald15_24	5	5270
2017	05	ald15_24	6	572
2017	05	ald15_24	7	1581
2017	05	ald15_24	8	706
2017	05	ald15_24	9	979
2017	05	ald25_54	0	532
2017	05	ald25_54	1	4137
2017	05	ald25_54	2	11974
2017	05	ald25_54	3	6045
2017	05	ald25_54	4	2790
2017	05	ald25_54	5	11281
2017	05	ald25_54	6	485
2017	05	ald25_54	7	4955
2017	05	ald25_54	8	4801
2017	05	ald25_54	9	2784
2017	05	ald55_66	0	154
2017	05	ald55_66	1	1731
2017	05	ald55_66	2	3481
2017	05	ald55_66	3	2031
2017	05	ald55_66	4	1186
2017	05	ald55_66	5	3883
2017	05	ald55_66	6	148
2017	05	ald55_66	7	1059
2017	05	ald55_66	8	1578
2017	05	ald55_66	9	898
2017	05	ald67_74	0	75
2017	05	ald67_74	1	153
2017	05	ald67_74	2	326
2017	05	ald67_74	3	162
2017	05	ald67_74	4	158
2017	05	ald67_74	5	593
2017	05	ald67_74	6	71
2017	05	ald67_74	7	100
2017	05	ald67_74	8	270
2017	05	ald67_74	9	143
2017	06	ald15_24	0	722
2017	06	ald15_24	1	112
2017	06	ald15_24	2	679
2017	06	ald15_24	3	813
2017	06	ald15_24	4	856
2017	06	ald15_24	5	6823
2017	06	ald15_24	6	136
2017	06	ald15_24	7	2181
2017	06	ald15_24	8	618
2017	06	ald15_24	9	1481
2017	06	ald25_54	0	736
2017	06	ald25_54	1	7411
2017	06	ald25_54	2	18178
2017	06	ald25_54	3	12524
2017	06	ald25_54	4	5283
2017	06	ald25_54	5	15580
2017	06	ald25_54	6	385
2017	06	ald25_54	7	8054
2017	06	ald25_54	8	5378
2017	06	ald25_54	9	4578
2017	06	ald55_66	0	197
2017	06	ald55_66	1	2768
2017	06	ald55_66	2	4926
2017	06	ald55_66	3	3555
2017	06	ald55_66	4	1762
2017	06	ald55_66	5	4604
2017	06	ald55_66	6	85
2017	06	ald55_66	7	1540
2017	06	ald55_66	8	1605
2017	06	ald55_66	9	1054
2017	06	ald67_74	0	59
2017	06	ald67_74	1	297
2017	06	ald67_74	2	415
2017	06	ald67_74	3	310
2017	06	ald67_74	4	237
2017	06	ald67_74	5	677
2017	06	ald67_74	6	29
2017	06	ald67_74	7	139
2017	06	ald67_74	8	272
2017	06	ald67_74	9	165
2017	07	ald15_24	0	635
2017	07	ald15_24	1	71
2017	07	ald15_24	2	498
2017	07	ald15_24	3	714
2017	07	ald15_24	4	740
2017	07	ald15_24	5	6381
2017	07	ald15_24	6	169
2017	07	ald15_24	7	1568
2017	07	ald15_24	8	660
2017	07	ald15_24	9	1340
2017	07	ald25_54	0	467
2017	07	ald25_54	1	5853
2017	07	ald25_54	2	15645
2017	07	ald25_54	3	10350
2017	07	ald25_54	4	4468
2017	07	ald25_54	5	14072
2017	07	ald25_54	6	373
2017	07	ald25_54	7	6353
2017	07	ald25_54	8	4349
2017	07	ald25_54	9	3723
2017	07	ald55_66	0	128
2017	07	ald55_66	1	2475
2017	07	ald55_66	2	4525
2017	07	ald55_66	3	2904
2017	07	ald55_66	4	1646
